ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
3,1,Mine,26,1,0.00,9.61,9.61
3,1,Mine,27,1,0.00,6.75,9.65
3,1,Mine,28,1,0.00,6.69,21.99
3,1,Mine,29,1,0.00,10.51,42.99
3,1,MQTT,1,1,0.00,0.00,0.00
3,1,MQTT,2,1,0.00,0.00,0.00
3,1,MQTT,3,1,0.00,0.00,0.00
3,1,MQTT,4,1,0.00,0.00,0.00
3,1,MQTT,5,1,0.00,0.00,0.00
3,1,MQTT,6,1,0.00,0.00,0.00
3,1,MQTT,7,1,0.00,0.96,2.87
3,1,MQTT,8,1,0.00,7.68,8.64
3,1,MQTT,9,1,0.00,0.00,0.00
3,1,MQTT,10,1,0.00,0.00,0.00
3,1,MQTT,11,1,0.00,0.00,0.96
3,1,MQTT,12,1,0.00,0.95,0.00
3,1,MQTT,13,1,0.00,0.00,0.96
3,1,MQTT,14,1,0.00,0.00,0.00
3,1,MQTT,15,1,0.00,0.00,0.00
3,1,MQTT,16,1,0.00,0.00,0.00
3,1,MQTT,17,1,0.00,0.00,0.00
3,1,MQTT,18,1,0.00,0.96,0.96
3,1,MQTT,19,1,0.00,0.00,0.00
3,1,MQTT,20,1,0.00,0.00,0.00
3,1,MQTT,21,1,0.00,0.95,0.95
3,1,MQTT,22,1,0.00,0.00,0.00
3,1,MQTT,23,1,0.00,0.00,0.00
3,1,MQTT,24,1,0.00,0.00,0.00
3,1,MQTT,25,1,0.00,0.00,0.00
3,1,MQTT,26,1,0.00,0.00,0.00
3,1,MQTT,27,1,0.00,0.00,0.00
3,1,MQTT,28,1,0.00,0.00,0.96
3,1,MQTT,29,1,0.00,0.00,0.00
3,2,Mine,1,3,0.00,0.95,7.56
3,2,Mine,2,5,0.10,0.00,3.77
3,2,Mine,3,29,0.80,18.46,20.30
3,2,Mine,4,48,0.80,14.49,17.20
3,2,Mine,5,55,0.60,7.23,9.04
3,2,Mine,6,68,1.10,17.10,16.20
3,2,Mine,7,80,0.80,21.10,22.86
3,2,Mine,8,88,1.00,10.63,9.74
3,2,Mine,9,97,1.10,12.40,10.63
3,2,Mine,10,108,1.10,16.75,14.11
3,2,Mine,11,128,1.20,26.01,25.15
3,2,Mine,12,144,1.20,32.93,28.60
3,2,Mine,13,155,1.10,15.46,13.74
3,2,Mine,14,158,0.20,16.96,15.07
3,2,Mine,15,158,0.00,0.00,0.00
3,2,Mine,16,158,0.00,0.00,0.00
3,2,Mine,17,158,0.00,0.00,0.00
3,2,Mine,18,158,0.00,46.99,38.53
3,2,Mine,19,158,0.00,0.00,0.00
3,2,Mine,20,158,0.00,0.94,0.00
3,2,Mine,21,158,0.00,0.00,0.00
3,2,Mine,22,158,0.00,0.00,24.56
3,2,Mine,23,158,0.00,0.95,0.00
3,2,Mine,24,158,0.00,0.00,0.95
3,2,Mine,25,158,0.00,0.00,24.56
3,2,Mine,26,158,0.00,0.00,0.00
3,2,Mine,27,158,0.00,5.69,63.53
3,2,Mine,28,158,0.00,6.62,164.48
3,2,MQTT,1,1,0.00,0.00,2.85
3,2,MQTT,2,1,0.20,0.00,0.00
3,2,MQTT,3,1,3.10,130.28,79.51
3,2,MQTT,4,1,3.00,125.80,79.70
3,2,MQTT,5,1,3.10,130.27,82.38
3,2,MQTT,6,1,3.00,137.08,90.11
3,2,MQTT,7,1,3.00,131.97,82.84
3,2,MQTT,8,1,3.50,153.56,94.43
3,2,MQTT,9,1,0.90,54.88,45.25
3,2,MQTT,10,1,0.00,0.96,0.00
3,2,MQTT,11,1,0.00,0.00,0.00
3,2,MQTT,12,1,0.00,0.00,0.00
3,2,MQTT,13,1,0.00,0.00,0.00
3,2,MQTT,14,1,0.00,0.00,0.00
3,2,MQTT,15,1,0.00,0.00,0.00
3,2,MQTT,16,1,0.00,0.00,0.00
3,2,MQTT,17,1,0.00,0.00,0.00
3,2,MQTT,18,1,0.00,0.00,0.00
3,2,MQTT,19,1,0.00,0.00,0.00
3,2,MQTT,20,1,0.00,0.00,0.00
3,2,MQTT,21,1,0.00,0.00,0.00
3,2,MQTT,22,1,0.00,0.00,0.00
3,2,MQTT,23,1,0.00,0.00,0.00
3,2,MQTT,24,1,0.00,0.00,0.00
3,2,MQTT,25,1,0.00,0.96,0.00
3,2,MQTT,26,1,0.00,0.00,0.96
3,2,MQTT,27,1,0.00,0.00,0.00
3,2,MQTT,28,1,0.00,0.00,0.00
3,2,MQTT,29,1,0.00,0.00,0.00
3,3,Mine,1,17,0.00,5.22,50.43
3,3,Mine,2,42,1.10,6.25,33.58
3,3,Mine,3,58,1.50,2.16,27.39
3,3,Mine,4,64,1.20,3.55,51.84
3,3,Mine,5,78,1.20,9.16,5.89
3,3,Mine,6,95,2.20,31.77,45.11
3,3,Mine,7,117,4.90,159.69,122.74
3,3,Mine,8,148,5.00,94.67,93.49
