ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
1,2,Mine,7,66,3.4,74.02,70.62
1,2,Mine,8,77,1.4,16.53,14.05
1,2,Mine,9,96,3.2,50.09,40.07
1,2,Mine,10,117,3.4,42.67,37.75
1,2,Mine,11,121,1.4,9.87,6.58
1,2,Mine,12,134,2.2,35.23,28.82
1,2,Mine,13,152,2.9,40.94,33.57
1,2,Mine,14,171,3.2,41.19,33.27
1,2,Mine,15,165,0.2,19.72,16.9
1,2,Mine,16,165,0.0,0.0,0.0
1,2,Mine,17,165,0.0,0.0,0.0
1,2,Mine,18,165,0.0,0.0,0.0
1,2,Mine,19,165,0.0,0.0,0.0
1,2,Mine,20,165,0.0,0.0,0.95
1,2,Mine,21,165,0.0,0.0,0.0
1,2,Mine,22,165,0.0,0.94,0.94
1,2,Mine,23,165,0.0,0.0,0.0
1,2,Mine,24,165,0.0,0.0,0.0
1,2,Mine,25,165,0.0,0.0,0.0
1,2,Mine,26,165,0.0,0.0,0.0
1,2,Mine,27,165,0.0,0.0,0.0
2,2,Mine,1,5,0.0,1.87,4.68
2,2,Mine,2,8,0.3,1.86,8.39
2,2,Mine,3,32,1.4,18.96,21.67
2,2,Mine,4,32,0.6,0.9,2.69
2,2,Mine,5,52,2.0,26.2,25.32
2,2,Mine,6,80,2.7,44.43,37.46
2,2,Mine,7,86,1.0,7.71,9.42
2,2,Mine,8,109,2.7,42.57,34.06
2,2,Mine,9,133,2.8,44.65,37.91
2,2,Mine,10,154,2.6,77.47,34.15
2,2,Mine,11,162,0.5,36.0,66.31
2,2,Mine,12,162,0.0,0.0,0.95
2,2,Mine,13,162,0.0,0.95,0.0
2,2,Mine,14,162,0.0,0.0,0.0
2,2,Mine,15,162,0.0,0.0,0.94
2,2,Mine,16,162,0.0,0.0,0.0
2,2,Mine,17,162,0.0,0.0,0.0
2,2,Mine,18,162,0.0,0.0,0.0
2,2,Mine,19,162,0.0,0.0,0.95
2,2,Mine,20,162,0.0,0.0,0.0
2,2,Mine,21,162,0.0,0.0,0.0
2,2,Mine,22,162,0.0,0.95,0.0
2,2,Mine,23,162,0.0,0.0,0.94
2,2,Mine,24,162,0.0,0.0,0.0
2,2,Mine,25,162,0.0,0.0,0.0
2,2,Mine,26,162,0.0,0.0,0.0
2,2,Mine,27,162,0.0,0.0,0.0
2,2,Mine,28,162,0.0,0.0,0.0
3,2,Mine,1,3,0.0,0.0,4.73
3,2,Mine,2,6,0.2,16.82,14.95
3,2,Mine,3,32,1.2,20.02,22.74
3,2,Mine,4,57,1.6,24.32,24.32
3,2,Mine,5,80,1.8,27.7,26.84
3,2,Mine,6,90,1.0,12.98,11.25
3,2,Mine,7,109,2.1,29.73,27.18
3,2,Mine,8,132,2.9,48.41,39.91
3,2,Mine,9,157,2.9,46.42,38.13
3,2,Mine,10,161,0.3,20.72,18.83
3,2,Mine,11,161,0.0,0.0,0.0
3,2,Mine,12,161,0.0,0.0,0.0
3,2,Mine,13,161,0.0,0.0,0.95
3,2,Mine,14,161,0.0,0.0,0.0
3,2,Mine,15,161,0.0,0.94,0.0
3,2,Mine,16,161,0.0,0.0,0.94
3,2,Mine,17,161,0.0,0.0,0.0
3,2,Mine,18,161,0.0,0.0,0.0
3,2,Mine,19,161,0.0,0.0,0.0
3,2,Mine,20,161,0.0,0.0,0.0
3,2,Mine,21,161,0.0,0.0,0.0
3,2,Mine,22,161,0.0,0.0,0.0
